genomes,pan_genes,core_genes
1,6300,6300
1,6300,6300
1,6933,6933
1,6276,6276
1,6334,6334
1,6675,6675
1,6334,6334
1,6276,6276
1,6675,6675
1,6276,6276
2,7613,5362
2,7613,5362
2,7871,5737
2,7024,5586
2,7576,5691
2,7871,5737
2,7024,5586
2,7636,5573
2,7387,5622
2,7145,5431
3,8099,5213
3,8099,5213
3,8417,5353
3,8082,5389
3,8346,5454
3,8346,5454
3,7755,5301
3,8082,5389
3,7933,5366
3,7755,5301
4,8956,5151
4,8956,5151
4,8996,5121
4,8678,5193
4,8956,5151
4,8802,5259
4,8678,5193
4,8802,5259
4,8802,5259
4,8678,5193
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
5,9349,5081
